Sample	AL590842_cov	AL117189_cov	AL117211_cov	AL109969_cov	pla_cov	AL590842_dep	AL117189_dep	AL117211_dep	AL109969_dep	pla_dep
GCA_009909635.1_ASM990963v1_genomic	0.9195527	0.9191807	0.9383848	0.0000000	0.0000000		18.1311321	17.5340157	18.5372620	0.0000000	0.0000000
GCA_009669545.1_ASM966954v1_genomic	0.9478846	0.9413840	0.9414614	0.8006659	1.0000000		18.7147694	18.2984428	18.5764999	15.6452351	20.0000000
GCA_009669555.1_ASM966955v1_genomic	0.9456348	0.9311429	0.9408377	0.8002497	1.0000000		18.6616592	18.0426140	18.6058521	15.6470041	20.0000000
GCA_009669565.1_ASM966956v1_genomic	0.9471409	0.9380698	0.9398919	0.8004578	1.0000000		18.6936855	18.1773567	18.4160271	15.6457558	20.0000000
GCA_009669605.1_ASM966960v1_genomic	0.9488842	0.9480122	0.9419083	0.8021224	1.0000000		18.7315311	18.4136543	18.6283646	15.6916351	20.0000000
GCA_009669625.1_ASM966962v1_genomic	0.9489598	0.9407724	0.9419083	0.8021224	1.0000000		18.7336235	18.2943878	18.5451832	15.6897631	20.0000000
GCA_009669675.1_ASM966967v1_genomic	0.9491904	0.9450964	0.9416693	0.8021224	1.0000000		18.7442284	18.3174877	18.2798767	15.6897631	20.0000000
GCA_009669635.1_ASM966963v1_genomic	0.9461144	0.9373729	0.9408377	0.8002497	1.0000000		18.6610889	18.1560211	18.6058521	15.6042442	20.0000000
GCA_009669665.1_ASM966966v1_genomic	0.9491498	0.9480122	0.9419083	0.8021224	1.0000000		18.7450104	18.3958759	18.5919857	15.6897631	20.0000000
GCA_009669725.1_ASM966972v1_genomic	0.9478330	0.9388664	0.9414614	0.8012900	1.0000000		18.7110481	18.2532539	18.6153412	15.6916351	20.0000000
GCA_009669715.1_ASM966971v1_genomic	0.9467077	0.9389232	0.9408377	0.7967125	1.0000000		18.6706600	18.1866302	18.6058521	15.5493135	20.0000000
