Name	UFboot	sCF	Branch_Length	Branch_Support_Color	coord_x	coord_y	Strain	Date	DateBP	Country	Province	CountryLat	CountryLon	ProvinceLat	ProvinceLon	Biovar	Branch_Major	Branch_Minor	BioSample	BioSampleComment	Branch_Number	Mugration_Branch_Number	Mugration_Branch_Number_Confidence	Mugration_Branch_Number_Entropy	Mugration_Branch_Major	Mugration_Branch_Major_Confidence	Mugration_Branch_Major_Entropy	Mugration_Branch_Minor	Mugration_Branch_Minor_Confidence	Mugration_Branch_Minor_Entropy	Mugration_Country	Mugration_Country_Confidence	Mugration_Country_Entropy	Mugration_Country_Lat	Mugration_Country_Lon	Mugration_Province	Mugration_Province_Confidence	Mugration_Province_Entropy	Mugration_Province_Lat	Mugration_Province_Lon
NODE0	NA	NA	0.0	black	0.0	17.8205156002536	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.999999997520312	5.5047546737852616e-08	0.PRE	0.9989337284974755	0.008392601067589486	0.PRE2	0.3924592096280607	1.3136658493493596	Russia	0.9939796637192866	0.03949704576536672	64.6863136	97.7453061	Krasnoyarsk Krai	0.38468200382980156	1.597786090016626	63.3233807	97.0979974
SAMEA3541827	NA	NA	3.8504000000000004e-06	grey	3.8504000000000004e-06	1.0	RISE509	[-2876:-2677]	[-4897:-4698]	Russia	Krasnoyarsk Krai	64.6863136	97.7453061	63.3233807	97.0979974	Bronze Age	0.PRE	0.PRE2	SAMEA3541827	KEEP: SRA Ancient	0.0	0	1.0	-1.000088900581841e-12	0.PRE	0.9999999999999999	-9.99866855976916e-13	0.PRE2	1.0	-1.000088900581841e-12	Russia	1.0	-1.000088900581841e-12	64.6863136	97.7453061	Krasnoyarsk Krai	1.0	-1.000088900581841e-12	63.3233807	97.0979974
NODE1	100.0	85.0	1.32708e-05	black	1.32708e-05	3.15625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.999999997520314	5.5047505351954136e-08	0.PRE	0.9999988582699683	1.683836018742307e-05	0.PRE1	0.9993412285475243	0.006184420833949712	Russia	0.9833705483682009	0.10644863177557795	64.6863136	97.7453061	Panevezys County	0.4459926073693161	1.859914379489604	55.9156048	25.03115989218585
SAMEA104233046	NA	NA	2.2484e-06	grey	1.5519200000000002e-05	2.0	Gyvakarai1	[-2621:-2472]	[-4642:-4493]	Lithuania	Panevezys County	55.35000030000001	23.7499997	55.9156048	25.03115989218585	Bronze Age	0.PRE	0.PRE1	SAMEA104233046	KEEP: SRA Ancient	0.0	0	0.9999999999999999	-9.99866855976916e-13	0.PRE	0.9999999999999999	-9.99866855976916e-13	0.PRE1	1.0	-1.000088900581841e-12	Lithuania	1.0	-1.000088900581841e-12	55.35000030000001	23.7499997	Panevezys County	0.9999999999999999	-9.99866855976916e-13	55.9156048	25.03115989218585
NODE2	100.0	94.6	1.36364e-05	black	2.69072e-05	4.3125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.999999997520312	5.504754670269718e-08	0.PRE	0.999999994114693	1.2887354813208446e-07	0.PRE1	0.9999992628354346	1.2015707673028023e-05	Russia	0.9828360520916393	0.11100244710729089	64.6863136	97.7453061	Pärnu maakond	0.44590455385950367	1.8542852897580886	58.31950685	24.30261214859043
SAMEA104233047	NA	NA	2.683e-07	grey	2.71755e-05	3.0	KunilaII	[-2574:-2340]	[-4595:-4361]	Estonia	Pärnu maakond	58.75237779999999	25.3319078	58.31950685	24.30261214859043	Bronze Age	0.PRE	0.PRE1	SAMEA104233047	KEEP: SRA Ancient	0.0	0	1.0	-1.000088900581841e-12	0.PRE	1.0	-1.000088900581841e-12	0.PRE1	1.0	-1.000088900581841e-12	Estonia	1.0	-1.000088900581841e-12	58.75237779999999	25.3319078	Pärnu maakond	0.9999999999999999	-9.99866855976916e-13	58.31950685	24.30261214859043
NODE3	100.0	53.7	1.1231e-06	black	2.80303e-05	5.625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.9999999975181146	5.5094131004615386e-08	0.PRE	0.9999999953213168	1.0460638511938596e-07	0.PRE1	0.9999999780840957	4.855879275315611e-07	Russia	0.9901259689256392	0.06357110827693144	64.6863136	97.7453061	Irkutsk Oblast	0.3825737141433772	1.57766739006694	56.6370122	104.719221
NODE4	100.0	98.7	1.173e-06	red	2.92033e-05	4.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.9999999975225112	5.5000919106209807e-08	0.PRE	0.9999999953302172	1.0441819836556753e-07	0.PRE1	0.9999999789018227	4.689084336212775e-07	Russia	0.9999613409684042	0.00047313042822594135	64.6863136	97.7453061	Irkutsk Oblast	0.9986022943474634	0.013215060936145679	56.6370122	104.719221
SAMEA6812876	NA	NA	2.346e-07	grey	2.94379e-05	4.0	GLZ001	[-2838:-2495]	[-4859:-4516]	Russia	Irkutsk Oblast	64.6863136	97.7453061	56.6370122	104.719221	Bronze Age	0.PRE	0.PRE1	SAMEA6812876	KEEP: SRA Ancient	0.0	0	1.0	-1.000088900581841e-12	0.PRE	1.0	-1.000088900581841e-12	0.PRE1	1.0	-1.000088900581841e-12	Russia	1.0	-1.000088900581841e-12	64.6863136	97.7453061	Irkutsk Oblast	1.0	-1.000088900581841e-12	56.6370122	104.719221
SAMEA6812877	NA	NA	2.3500000000000002e-08	grey	2.92268e-05	5.0	GLZ002	[-2569:-2467]	[-4590:-4488]	Russia	Irkutsk Oblast	64.6863136	97.7453061	56.6370122	104.719221	Bronze Age	0.PRE	0.PRE1	SAMEA6812877	KEEP: SRA Ancient	0.0	0	1.0	-1.000088900581841e-12	0.PRE	1.0	-1.000088900581841e-12	0.PRE1	1.0	-1.000088900581841e-12	Russia	1.0	-1.000088900581841e-12	64.6863136	97.7453061	Irkutsk Oblast	1.0	-1.000088900581841e-12	56.6370122	104.719221
