ID	LENGTH	ALIGNED	UNALIGNED	VARIANT	HET	MASKED	LOWCOV
GCA_000006645.1_ASM664v1_genomic	4829855	4317245	101994	232	557	399622	10437
GCA_000007885.1_ASM788v1_genomic	4829855	4358312	51441	438	723	399622	19757
GCA_000013825.1_ASM1382v1_genomic	4829855	4379480	33207	194	361	399622	17185
GCA_000022805.1_ASM2280v1_genomic	4829855	4415358	8817	153	390	399622	5668
GCA_000022825.1_ASM2282v1_genomic	4829855	4413763	9131	181	281	399622	7058
GCA_000022845.1_ASM2284v1_genomic	4829855	4276266	148362	75	303	399622	5302
GCA_000168235.2_ASM16823v2_genomic	4829855	4396536	23332	59	307	399622	10058
GCA_000169615.1_ASM16961v1_genomic	4829855	4272662	135992	192	478	399622	21101
GCA_000169635.1_ASM16963v1_genomic	4829855	4410260	14931	72	301	399622	4741
GCA_000169655.1_ASM16965v1_genomic	4829855	4267310	146621	170	599	399622	15703
GCA_000169675.1_ASM16967v1_genomic	4829855	4391378	26386	128	413	399622	12056
GCA_000170275.1_ASM17027v1_genomic	4829855	4389449	30256	54	343	399622	10185
GCA_000181455.2_ASM18145v2_genomic	4829855	4426017	1586	28	127	399622	2503
GCA_000182485.1_ASM18248v1_genomic	4829855	4233460	184870	177	420	399622	11483
GCA_000182505.1_ASM18250v1_genomic	4829855	4321336	104742	45	310	399622	3845
GCA_000182525.1_ASM18252v1_genomic	4829855	4357398	68484	64	225	399622	4126
GCA_000182545.1_ASM18254v1_genomic	4829855	4362033	48588	359	713	399622	18899
GCA_000182705.1_ASM18270v1_genomic	4829855	4285367	132443	209	545	399622	11878
GCA_000222975.1_ASM22297v1_genomic	4829855	4266884	160372	35	83	399622	2894
GCA_000255735.1_ASM25573v1_genomic	4829855	4386771	13416	22	113	399622	29933
GCA_000255755.1_ASM25575v1_genomic	4829855	4388954	5204	32	52	399622	36023
GCA_000255775.1_ASM25577v1_genomic	4829855	4392592	4963	24	41	399622	32637
GCA_000255795.1_ASM25579v1_genomic	4829855	4376840	10815	25	38	399622	42540
