id	BioSample_id	BioSampleAccession	BioSampleAccessionSecondary	BioSampleBioProjectAccession	BioSampleSRAAccession	BioSampleTitle	BioSampleName	BioSampleType	BioSamplePackage	BioSampleInfraspecies	BioSampleOrganism	BioSampleOrganismAlt	BioSampleSubSpecies	BioSampleStrain	BioSampleTaxonomyID	BioSampleBiovar	BioSampleCollectionDate	BioSampleGeographicLocation	BioSampleHost	BioSampleHostDisease	BioSampleIsolateNameAlias	BioSampleIsolationSource	BioSampleLat	BioSampleLatLon	BioSampleLon	BioSampleDate	BioSampleModificationDate	BioSamplePublicationDate	BioSampleOrganization	BioSampleComment
1	1991279	SAMN01991279	None	PRJNA194125	SRS429133	Generic sample from Yersinia pestis	KIM_(D27)	None	Generic.1.0	strain: KIM (D27)	None	Yersinia pestis KIM D27	None	KIM-D27	687916	None	1968	Iran/Kurdistan	Homo sapiens	None	None	None	None	None	None	2013/03/27	2019/07/21	2013/03/27	CosmosID Inc.	KEEP
2	1853159	SAMN01853159	None	PRJNA184590	SRS385147	Yersinia pestis 17/99 (Yp1069)	17/99 B	None	Pathogen.cl.1.0	strain: 17/99 B	None	Yersinia pestis 17/99 B	None	17-99B	1275982	None	1999	Madagascar: Mahajanga	Homo sapiens	plague	None	human	None	46.31395349 N 15.71171171 W	None	2013/02/16	2019/07/17	2013/02/16	Northern Arizona University Center for Microbial Genetics and Genomics	KEEP
3	1853158	SAMN01853158	None	PRJNA184590	SRS385146	Yersinia pestis 154/98 (Yp1064)	154/98 B	None	Pathogen.cl.1.0	strain: 154/98 B	None	Yersinia pestis 154/98 B	None	154-98B	1275981	None	1998	Madagascar: Mahajanga	Homo sapiens	plague	None	human	None	46.31395349 N 15.71171171 W	None	2013/02/16	2019/07/17	2013/02/16	Northern Arizona University Center for Microbial Genetics and Genomics	KEEP
4	1853157	SAMN01853157	None	PRJNA184590	SRS385142	Yersinia pestis 64/91 (Yp1032)	64/91	None	Pathogen.cl.1.0	strain: 64/91	None	Yersinia pestis 64/91	None	64-91	1275980	None	1991	Madagascar: Mahajanga	Homo sapiens	plague	None	human	None	46.31395349 N 15.71171171 W	None	2013/02/16	2019/07/17	2013/02/16	Northern Arizona University Center for Microbial Genetics and Genomics	KEEP
5	1853130	SAMN01853130	None	PRJNA184590	SRS385148	Yersinia pestis 53/91 (Yp1030)	53/91	None	Pathogen.cl.1.0	strain: 53/91	None	Yersinia pestis 53/91	None	53-91	1275979	None	1991	Madagascar: Mahajanga	flea	plague	None	infected flea	None	46.31395349 N 15.71171171 W	None	2013/02/16	2019/07/17	2013/02/16	Northern Arizona University Center for Microbial Genetics and Genomics	KEEP
6	12011895	SAMN12011895	None	PRJNA548232	None	Pathogen: clinical or host-associated sample from Yersinia pestis	Yersinia pestis C-144	None	Pathogen.cl.1.0	strain: C-144	Yersinia pestis	Yersinia pestis	None	C-144	632	None	missing	missing	Meriones tamariscinus	plague	None	corpse	None	missing	None	2019/06/11	2019/07/05	2019/06/11	Stavropol Plague Control Reseach Institute	KEEP
7	12138636	SAMN12138636	None	PRJNA551087	None	Pathogen: clinical or host-associated sample from Yersinia pestis	Yersinia pestis_I_3269	None	Pathogen.cl.1.0	strain: I_3269	Yersinia pestis	Yersinia pestis	None	I_3269	632	None	1990-08-29	Mongolia: Bayan-Ulgij aimag, Sagsai sum	Ochotona pallasi	Plague	None	missing	None	missing	None	2019/06/26	2019/06/26	2019/06/26	Russian Research Anti-Plague institute "Microbe"	KEEP
8	12138635	SAMN12138635	None	PRJNA551086	None	Pathogen: clinical or host-associated sample from Yersinia pestis	Yersinia pestis_I_3196	None	Pathogen.cl.1.0	strain: I_3196	Yersinia pestis	Yersinia pestis	None	I_3196	632	None	1986-10-10	Mongolia: Govi-Altai Aimag, Altai Sum	Ochotona pallasi	Plague	None	missing	None	missing	None	2019/06/26	2019/06/26	2019/06/26	Russian Research Anti-Plague institute "Microbe"	KEEP
9	12138633	SAMN12138633	None	PRJNA551085	None	Pathogen: clinical or host-associated sample from Yersinia pestis	Yersinia pestis_I_3193	None	Pathogen.cl.1.0	strain: I_3193	Yersinia pestis	Yersinia pestis	None	I_3193	632	None	1987-05-27	Mongolia: Khovd Aimag, Khovd Sum	Ochotona pallasi	Plague	None	missing	None	missing	None	2019/06/26	2019/06/26	2019/06/26	Russian Research Anti-Plague institute "Microbe"	KEEP
10	12131171	SAMN12131171	None	PRJNA550535	None	Pathogen: clinical or host-associated sample from Yersinia pestis	Yersinia pestis_I_3068	None	Pathogen.cl.1.0	strain: I_3068	Yersinia pestis	Yersinia pestis	None	I_3068	632	None	1982-05-14	Mongolia: Uverhangaj Aimag, Zuunbayan-Ulaan Sum	Lasiopodomys brandti	Plague	None	missing	None	missing	None	2019/06/25	2019/06/25	2019/06/25	Russian Research Anti-Plague institute "Microbe"	KEEP
