BioSampleAccession	AssemblyFTPGenbank	SRARunAccession	BioSampleStrain	BioSampleCollectionDate	BioSampleHost	BioSampleGeographicLocation	BioSampleBiovar	PubmedArticleTitle	PubmedAuthorsLastName	AssemblyContigCount	AssemblyTotalLength	NucleotideGenes	NucleotideGenesTotal	NucleotidePseudoGenes	NucleotidePseudoGenesTotal	NucleotiderRNAs	AssemblySubmissionDate	SRARunPublishDate	BioSampleComment
SAMN07722925	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/669/545/GCA_009669545.1_ASM966954v1	?	42126	28-Aug-2006	missing	China: Xinjiang Guertu	?	?	?	221	4614839	?	4,390	?	153	2, 1, 3 (5S, 16S, 23S)	2019/11/18 00:00	?	?
SAMN07722924	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/669/555/GCA_009669555.1_ASM966955v1	?	42123	02-Jul-2005	missing	China: Xinjiang Guertu	?	?	?	241	4601243	?	4,359	?	136	2, 1, 2 (5S, 16S, 23S)	2019/11/18 00:00	?	?
SAMN07722923	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/669/565/GCA_009669565.1_ASM966956v1	?	42118	14-Jul-2005	missing	China: Xinjiang Guertu	?	?	?	220	4607112	?	4,364	?	143	2, 1, 3 (5S, 16S, 23S)	2019/11/18 00:00	?	?
SAMN07722922	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/669/605/GCA_009669605.1_ASM966960v1	?	42117	30-Jun-2005	missing	China: Xinjiang Guertu	?	?	?	219	4621797	?	4,416	?	168	2, 1, 4 (5S, 16S, 23S)	2019/11/18 00:00	?	?
SAMN07722921	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/669/625/GCA_009669625.1_ASM966962v1	?	42116	15-Jun-2005	missing	China: Xinjiang Guertu	?	?	?	226	4621425	?	4,411	?	166	2, 2, 4 (5S, 16S, 23S)	2019/11/18 00:00	?	?
SAMN07722920	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/669/675/GCA_009669675.1_ASM966967v1	?	42114	30-Jun-2004	missing	China: Xinjiang Guertu	?	?	?	217	4621711	?	4,415	?	164	2, 2, 4 (5S, 16S, 23S)	2019/11/18 00:00	?	?
SAMN07722919	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/669/635/GCA_009669635.1_ASM966963v1	?	42113	07-Aug-2003	missing	China: Xinjiang Guertu	?	?	?	237	4603342	?	4,356	?	139	2, 1, 2 (5S, 16S, 23S)	2019/11/18 00:00	?	?
SAMN07722918	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/669/665/GCA_009669665.1_ASM966966v1	?	42110	19-Aug-2002	missing	China: Xinjiang Guertu	?	?	?	204	4622228	?	4,413	?	166	2, 2, 4 (5S, 16S, 23S)	2019/11/18 00:00	?	?
SAMN07722917	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/669/725/GCA_009669725.1_ASM966972v1	?	42102	24-Jun-1987	missing	China: Xinjiang Guertu	?	?	?	222	4614934	?	4,391	?	158	3, 2, 3 (5S, 16S, 23S)	2019/11/18 00:00	?	?
SAMN07722916	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/669/715/GCA_009669715.1_ASM966971v1	?	42099	01-Jul-1986	missing	China: Xinjiang Guertu	?	?	?	236	4604287	?	4,357	?	136	2, 1, 3 (5S, 16S, 23S)	2019/11/18 00:00	?	?
