#node	clock_length	mutation_length	rate	fold_change
SAMEA3541827	1.185e-05	3.440e-06	8.791e-09	1.00
NODE2	8.601e-06	1.184e-05	8.791e-09	1.00
SAMEA104233046	5.488e-06	2.365e-06	8.791e-09	1.00
NODE4	3.221e-07	6.447e-07	8.791e-09	1.00
SAMEA104233050	8.597e-07	8.597e-07	8.791e-09	1.00
NODE6	3.225e-06	6.453e-06	8.791e-09	1.00
SAMEA104233047	2.355e-06	4.298e-07	8.791e-09	1.00
NODE8	4.364e-06	1.313e-05	8.791e-09	1.00
SAMEA104233049	2.149e-07	2.149e-07	8.791e-09	1.00
NODE10	3.840e-06	1.119e-05	8.791e-09	1.00
SAMEA104233048	2.347e-07	6.448e-07	8.791e-09	1.00
SAMEA3541826	2.485e-06	2.580e-06	8.791e-09	1.00
NODE13	3.673e-06	4.945e-06	8.791e-09	1.00
NODE14	5.058e-05	3.236e-05	8.791e-09	1.00
GCA_000323485.1_ASM32348v1_genomic	1.317e-07	2.149e-07	8.791e-09	1.00
GCA_000323845.1_ASM32384v1_genomic	1.229e-07	1.161e-21	8.791e-09	1.00
NODE17	9.530e-06	1.615e-05	8.791e-09	1.00
NODE18	2.093e-05	3.193e-05	8.791e-09	1.00
NODE19	1.350e-05	1.658e-05	8.791e-09	1.00
GCA_001294825.1_ASM129482v1_genomic	6.937e-06	2.149e-07	8.791e-09	1.00
GCA_002127375.1_ASM212737v1_genomic	7.060e-06	8.596e-07	8.791e-09	1.00
GCA_006376585.1_ASM637658v1_genomic	6.884e-06	9.755e-22	8.791e-09	1.00
NODE36	1.429e-06	1.289e-06	8.791e-09	1.00
GCA_002127355.1_ASM212735v1_genomic	5.613e-06	2.579e-06	8.791e-09	1.00
GCA_002127365.1_ASM212736v1_genomic	5.622e-06	8.174e-06	8.791e-09	1.00
NODE39	5.829e-08	2.149e-07	8.791e-09	1.00
GCA_001972405.1_ASM197240v1_genomic	6.975e-06	1.486e-05	8.791e-09	1.00
NODE41	7.874e-07	1.934e-06	8.791e-09	1.00
GCA_001972385.1_ASM197238v1_genomic	6.127e-06	1.356e-05	8.791e-09	1.00
GCA_001972465.1_ASM197246v1_genomic	6.039e-06	7.312e-06	8.791e-09	1.00
NODE26	2.502e-07	4.298e-07	8.791e-09	1.00
GCA_008630455.1_ASM863045v1_genomic	6.924e-06	6.447e-07	8.791e-09	1.00
NODE27	6.656e-07	8.602e-07	8.791e-09	1.00
GCA_001601675.1_ASM160167v1_genomic	6.153e-06	1.401e-05	8.791e-09	1.00
GCA_008630415.1_ASM863041v1_genomic	6.056e-06	1.075e-06	8.791e-09	1.00
