#Lower and upper bound delineate the 95% max posterior region
#node	date	numeric date	lower bound	upper bound
NODE0	-4170-08-19	-4169.369084	-4178.260092	-3943.201976
SAMEA3541827	-2876-01-01	-2875.999886	-2876.000000	-2677.000000
NODE2	-3188-10-25	-3187.184801	-3409.469239	-3140.100983
SAMEA104233046	-2621-01-01	-2620.999886	-2621.000000	-2472.000000
NODE4	-3137-01-27	-3136.927197	-3167.221646	-2884.449235
SAMEA104233050	NA	NA	NA	NA
SAMEA104233050	--	--	--	--
NODE6	-2812-09-27	-2811.261676	-2795.620371	-2569.747380
SAMEA104233047	-2574-01-01	-2573.999886	-2376.331177	-2340.000000
NODE8	-2328-11-06	-2327.153004	-2243.608303	-2156.183399
SAMEA104233049	-2304-11-07	-2303.148866	-2188.845209	-2148.000000
NODE10	-1923-12-18	-1922.037941	-1941.935107	-1890.980549
SAMEA104233048	-1882-01-01	-1881.999886	-1904.450159	-1882.000000
SAMEA3541826	-1647-12-08	-1646.063537	-1724.432402	-1626.000000
NODE13	-3716-09-27	-3715.260703	-3818.369556	-3273.151474
NODE14	1952-11-30	1952.914841	1916.960114	1961.000000
GCA_000323485.1_ASM32348v1_genomic	1962-01-01	1962.000000	1962.000000	1962.000000
GCA_000323845.1_ASM32384v1_genomic	1961-01-01	1961.000000	1961.000000	1961.000000
NODE17	-2638-11-08	-2637.147033	-2745.349063	-2490.860999
NODE18	-271-09-27	-270.260868	-472.450212	-53.727356
NODE19	1321-07-17	1321.540735	1235.815836	1352.752244
GCA_001294825.1_ASM129482v1_genomic	1984-01-01	1984.000000	1984.000000	1984.000000
GCA_002127375.1_ASM212737v1_genomic	1998-01-01	1998.000000	1998.000000	1998.000000
GCA_006376585.1_ASM637658v1_genomic	1978-01-01	1978.000000	1978.000000	1978.000000
NODE36	1469-09-17	1469.710875	1700.908533	1811.768408
GCA_002127355.1_ASM212735v1_genomic	1996-01-01	1996.000000	1996.000000	1996.000000
GCA_002127365.1_ASM212736v1_genomic	1997-01-01	1997.000000	1997.000000	1997.000000
NODE39	1335-09-21	1335.721314	1252.925002	1362.980165
GCA_001972405.1_ASM197240v1_genomic	1995-01-01	1995.000000	1995.000000	1995.000000
NODE41	1444-06-07	1444.430621	1625.226022	1742.158777
GCA_001972385.1_ASM197238v1_genomic	1988-01-01	1988.000000	1988.000000	1988.000000
GCA_001972465.1_ASM197246v1_genomic	1978-01-01	1978.000000	1978.000000	1978.000000
NODE26	1355-01-17	1355.045282	1465.126826	1588.381066
GCA_008630455.1_ASM863045v1_genomic	2011-01-01	2011.000000	2011.000000	2011.000000
NODE27	1437-08-11	1437.610335	1484.877522	1603.705288
GCA_001601675.1_ASM160167v1_genomic	1999-01-01	1999.000000	1999.000000	1999.000000
GCA_008630415.1_ASM863041v1_genomic	1988-01-01	1988.000000	1988.000000	1988.000000
NODE32	1444-07-27	1444.569594	1657.566503	1759.090559
GCA_001972395.1_ASM197239v1_genomic	1984-01-01	1984.000000	1984.000000	1984.000000
GCA_002165475.1_ASM216547v1_genomic	2010-01-01	2010.000000	2010.000000	2010.000000
NODE44	1057-11-05	1057.844166	949.412006	1206.660477
NODE45	1575-05-29	1575.406034	1515.261563	1701.756344
NODE46	1608-09-30	1608.747606	1615.883986	1755.881513
GCA_001295055.1_ASM129505v1_genomic	1989-01-01	1989.000000	1989.000000	1989.000000
NODE48	1635-08-23	1635.643478	1750.741641	1836.564780
GCA_001294985.1_ASM129498v1_genomic	1978-01-01	1978.000000	1978.000000	1978.000000
GCA_001972415.1_ASM197241v1_genomic	1969-01-01	1969.000000	1969.000000	1969.000000
GCA_003074435.1_ASM307443v1_genomic	1984-01-01	1984.000000	1984.000000	1984.000000
NODE49	1979-01-01	1979.000114	1966.415055	1979.000000
GCA_003074395.1_ASM307439v1_genomic	1979-01-01	1979.000000	1979.000000	1979.000000
GCA_003074415.1_ASM307441v1_genomic	1979-01-01	1979.000000	1979.000000	1979.000000
NODE57	1890-04-07	1890.264130	1859.557959	1913.331859
GCA_001295065.1_ASM129506v1_genomic	1969-01-01	1969.000000	1969.000000	1969.000000
NODE60	1924-02-06	1924.100238	1962.649517	1966.986779
