#Position (bp)	mapping quality
6038.0	59.97465488182999
18113.0	59.848100597030694
30188.0	59.943832361201125
42263.0	59.94555222146936
54338.0	60.0
66413.0	60.0
78488.0	60.0
90563.0	60.0
102638.0	59.99589874829798
114713.0	60.0
126788.0	59.92839375545284
138863.0	60.0
150938.0	60.0
163013.0	60.0
175088.0	60.0
187163.0	60.0
199238.0	60.0
211313.0	60.0
223388.0	59.937365010799134
235463.0	60.0
247538.0	59.974586116758644
259613.0	60.0
271688.0	60.0
283763.0	60.0
295838.0	60.0
307913.0	59.416426378941495
319988.0	59.95083082623558
332063.0	60.0
344138.0	60.0
356213.0	60.0
368288.0	60.0
380363.0	59.951808263894854
392438.0	60.0
404513.0	59.92142166344294
416588.0	60.0
428663.0	59.972169764436934
440738.0	60.0
452813.0	60.0
464888.0	59.88486801028945
476963.0	60.0
489038.0	60.0
501113.0	60.0
513188.0	59.96972972972973
525263.0	59.94816414686825
537338.0	60.0
549413.0	60.0
561488.0	59.93631312712497
573563.0	59.95068402588955
585638.0	59.9437604367651
597713.0	60.0
609788.0	59.93512851897185
621863.0	60.0
633938.0	59.97294641659055
646013.0	60.0
658088.0	59.3421052631579
670163.0	60.0
682238.0	60.0
694313.0	59.795469652809736
706388.0	60.0
718463.0	59.99689440993789
730538.0	59.99527948355894
742613.0	60.0
754688.0	59.90284681427926
766763.0	59.96172993928148
778838.0	60.0
790913.0	59.501052730080005
802988.0	0.0
815063.0	59.9747184432948
827138.0	59.10391855137306
839213.0	59.96421367418704
851288.0	59.87024703704492
863363.0	60.0
875438.0	60.0
887513.0	59.99502638090462
899588.0	60.0
911663.0	59.82089710474575
923738.0	59.99527948355894
935813.0	60.0
947888.0	59.9602403800357
959963.0	59.942707855898796
972038.0	60.0
984113.0	60.0
996188.0	60.0
1008263.0	60.0
1020338.0	59.944274846150115
1032413.0	60.0
1044488.0	59.98658340648966
1056563.0	60.0
1068638.0	57.6251764510504
1080713.0	54.52717726657645
1092788.0	59.97392852706116
1104863.0	59.891584425402066
1116938.0	60.0
1129013.0	58.543017019281635
1141088.0	59.972687545520756
1153163.0	60.0
1165238.0	60.0
1177313.0	59.91156366711296
1189388.0	60.0
1201463.0	59.94774992950387
1213538.0	59.99108915932583
1225613.0	59.97064743374707
1237688.0	59.89632906909617
1249763.0	59.97081081081081
1261838.0	60.0
1273913.0	60.0
1285988.0	59.9311133716881
1298063.0	60.0
1310138.0	59.95045417010735
1322213.0	59.99807943458554
1334288.0	60.0
1346363.0	59.95468411048685
1358438.0	60.0
1370513.0	60.0
1382588.0	59.94600431965443
1394663.0	60.0
1406738.0	60.0
1418813.0	59.672095548317046
1430888.0	60.0
1442963.0	60.0
1455038.0	60.0
1467113.0	60.0
1479188.0	60.0
1491263.0	60.0
1503338.0	60.0
1515413.0	60.0
1527488.0	60.0
1539563.0	59.948164594690326
1551638.0	60.0
1563713.0	60.0
1575788.0	60.0
1587863.0	59.94168466522678
1599938.0	60.0
1612013.0	60.0
1624088.0	59.83611398991553
1636163.0	60.0
1648238.0	60.0
1660313.0	59.16755692999719
1672388.0	59.36203403949187
1684463.0	60.0
1696538.0	59.97035347776511
1708613.0	59.94396433641322
1720688.0	60.0
1732763.0	59.96390822376901
1744838.0	60.0
1756913.0	60.0
1768988.0	59.99503105590062
1781063.0	59.97491448118586
1793138.0	60.0
1805213.0	59.84628865602979
1817288.0	59.95516231242901
1829363.0	59.92878901768406
1841438.0	59.93597533213385
1853513.0	60.0
