#Position (bp)	mapping quality
6038.0	59.9351463730788
18113.0	59.89247627146809
30188.0	60.0
42263.0	59.960048426150124
54338.0	59.9619814379962
66413.0	59.95527431751921
78488.0	60.0
90563.0	59.99503105590062
102638.0	59.930675527246834
114713.0	59.88251727320346
126788.0	59.9504715885332
138863.0	60.0
150938.0	60.0
163013.0	60.0
175088.0	59.80785028334577
187163.0	59.96169164817123
199238.0	60.0
211313.0	60.0
223388.0	59.990074419794695
235463.0	60.0
247538.0	59.97527567621025
259613.0	60.0
271688.0	60.0
283763.0	59.96408783516981
295838.0	60.0
307913.0	59.32602696174752
319988.0	59.92510676030064
332063.0	60.0
344138.0	59.91620982456432
356213.0	60.0
368288.0	60.0
380363.0	59.96089631115448
392438.0	59.92527895855473
404513.0	59.99378851123037
416588.0	60.0
428663.0	59.93620614172244
440738.0	60.0
452813.0	60.0
464888.0	59.90766498964191
476963.0	60.0
489038.0	60.0
501113.0	60.0
513188.0	60.0
525263.0	59.97412654634313
537338.0	60.0
549413.0	59.926839586253806
561488.0	59.93631391930609
573563.0	60.0
585638.0	59.916495711819834
597713.0	60.0
609788.0	59.98498483468303
621863.0	60.0
633938.0	59.958924820026894
646013.0	59.99503105590062
658088.0	59.36663007683864
670163.0	60.0
682238.0	60.0
694313.0	59.797237193239496
706388.0	59.94805150710047
718463.0	59.930329058588484
730538.0	59.99527948355894
742613.0	59.99527948355894
754688.0	59.97235659986178
766763.0	59.99055892802425
778838.0	59.912335944781724
790913.0	59.48959999287213
802988.0	59.07364450973822
815063.0	58.489486482620514
827138.0	0.0
839213.0	0.0
851288.0	0.0
863363.0	59.99473258093779
875438.0	60.0
887513.0	59.95046877764019
899588.0	59.99031043863899
911663.0	59.94514344487383
923738.0	60.0
935813.0	59.93625709637794
947888.0	59.93065256435841
959963.0	59.942708333333336
972038.0	60.0
984113.0	60.0
996188.0	59.99527235780787
1008263.0	60.0
1020338.0	59.98059665292263
1032413.0	60.0
1044488.0	59.98583833339545
1056563.0	59.99527948355894
1068638.0	57.39735037113596
1080713.0	57.403864743194355
1092788.0	59.9159321470148
1104863.0	60.0
1116938.0	0.0
1129013.0	0.0
1141088.0	0.0
1153163.0	60.0
1165238.0	60.0
1177313.0	59.96756756756757
1189388.0	60.0
1201463.0	59.94780144664562
1213538.0	60.0
1225613.0	59.96769554029911
1237688.0	59.994657485456486
1249763.0	59.98896247240618
1261838.0	60.0
1273913.0	59.85726775511864
1285988.0	59.8861866589716
1298063.0	60.0
1310138.0	59.97052903653963
1322213.0	59.943844492440604
1334288.0	59.970431354359924
1346363.0	60.0
1358438.0	60.0
1370513.0	60.0
1382588.0	59.99461400359066
1394663.0	59.930849508701016
1406738.0	60.0
1418813.0	59.62956163700974
1430888.0	60.0
1442963.0	59.93933013478031
1455038.0	59.94028959546201
1467113.0	59.93514362562333
1479188.0	59.93032486033867
1491263.0	60.0
1503338.0	60.0
1515413.0	60.0
1527488.0	60.0
1539563.0	59.978384921321116
1551638.0	59.833081651317606
1563713.0	60.0
1575788.0	59.900889168126426
1587863.0	59.9188100805404
1599938.0	60.0
1612013.0	60.0
1624088.0	59.78578550674915
1636163.0	60.0
